animal,treatment,series,type,duration,amplitude 
1,1,1,1,,59.1
1,1,1,1,,62.9
1,1,1,2,0.111,72.7
1,1,1,3,0.422,63.1
1,1,1,2,0.148,71.1
1,1,1,3,0.312,64.1
1,1,1,2,0.111,72.6
1,1,1,3,0.335,64.7
1,1,1,2,0.142,71.2
1,1,1,3,0.368,62.9
1,1,1,2,0.123,71.5
1,1,1,3,0.541,60.4
1,1,2,1,,63.2
1,1,2,2,0.121,69.9
1,1,2,3,0.658,59.9
1,1,2,2,0.129,72.2
1,1,2,3,0.489,62.5
1,1,2,2,0.132,73.2
1,1,2,3,0.243,64.7
1,1,2,2,0.146,73.5
1,1,2,3,0.457,62.1
1,1,2,2,0.15,73.4
1,1,2,3,0.592,61.1
1,1,3,1,,64.1
1,1,3,1,,67.9
1,1,3,2,0.175,71.8
1,1,3,3,0.339,66.5
1,1,3,2,0.165,73.6
1,1,3,3,0.375,67.5
1,1,3,2,0.129,74.9
1,1,3,3,0.327,67.6
1,1,3,2,0.133,74.6
1,1,3,3,0.358,65.3
1,1,3,2,0.101,74.6
1,1,3,3,0.642,63.9
1,1,3,2,0.129,73.4
1,1,3,3,0.793,62.8
1,1,3,2,0.162,72.5
1,1,3,3,1.021,61.2
1,1,4,1,,61.9
1,1,4,1,,62.1
1,1,4,2,0.139,75.1
1,1,4,3,0.222,66.1
1,1,4,2,0.124,75.4
1,1,4,3,0.275,66
1,1,4,2,0.139,73.9
1,1,4,3,0.208,66.6
1,1,4,2,0.161,73
1,1,4,3,0.252,65.4
1,1,4,2,0.134,73.5
1,1,4,3,0.383,64.1
1,1,4,2,0.158,75.1
1,1,4,3,0.322,62.9
1,1,5,1,,67.9
1,1,5,2,0.169,72.9
1,1,5,3,0.325,68.6
1,1,5,2,0.114,72.9
1,1,5,3,0.284,69.5
1,1,5,2,0.104,74.1
1,1,5,3,0.314,68.9
1,1,5,2,0.128,74.3
1,1,5,3,0.251,68.7
1,1,5,2,0.114,74.2
1,1,5,3,0.368,65.6
1,1,5,2,0.149,71.4
1,1,5,3,0.359,63.9
1,1,6,1,,67.2
1,1,6,2,0.116,70.4
1,1,6,3,0.345,66.8
1,1,6,2,0.142,74.8
1,1,6,3,0.274,68.9
1,1,6,2,0.091,77.7
1,1,6,3,0.251,69
1,1,6,2,0.088,76.1
1,1,6,3,0.258,66.9
1,1,6,2,0.113,74.9
1,1,6,3,0.319,65.5
1,1,6,2,0.159,72.4
1,1,6,3,1.107,60.5
1,1,6,2,0.15,71.2
1,1,6,3,1.288,59.8
1,1,7,1,,64.5
1,1,7,2,0.15,72.1
1,1,7,3,0.602,62.3
1,1,7,2,0.132,74.2
1,1,7,3,0.412,65
1,1,7,2,0.127,74.9
1,1,7,3,0.413,64.1
1,1,7,2,0.13,74.5
1,1,7,3,0.404,64.3
1,1,7,2,0.166,69.5
1,1,7,3,0.747,61.2
1,1,7,2,0.104,72.6
1,1,7,3,1.027,60.8
1,1,7,2,0.155,70.5
1,1,7,3,1.027,59.4
1,1,7,2,0.158,67.5
1,1,7,3,1.027,60
1,1,8,1,,65.2
1,1,8,1,,69.2
1,1,8,2,0.171,71.2
1,1,8,3,0.298,67.4
1,1,8,2,0.168,72.1
1,1,8,3,0.245,69.2
1,1,8,2,0.15,72.8
1,1,8,3,0.271,67
1,1,8,2,0.134,73.4
1,1,8,3,0.271,66
1,1,8,2,0.1,74
1,1,8,3,0.563,62.8
1,1,8,2,0.159,71.1
1,1,8,3,1.118,60.2
1,1,9,1,,68.2
1,1,9,2,0.163,71.9
1,1,9,3,0.342,66.5
1,1,9,2,0.148,72.7
1,1,9,3,0.245,69.8
1,1,9,2,0.129,74.1
1,1,9,3,0.291,68.6
1,1,9,2,0.127,74.4
1,1,9,3,0.429,65.1
1,1,9,2,0.148,73.8
1,1,9,3,0.539,63.6
1,1,9,2,0.158,70.7
1,1,9,3,1.288,59.4
1,1,10,1,,61.5
1,1,10,1,,67.7
1,1,10,2,0.136,71.6
1,1,10,3,0.374,65.6
1,1,10,2,0.142,72
1,1,10,3,0.351,67.2
1,1,10,2,0.136,72.2
1,1,10,3,0.413,66
1,1,10,2,0.134,73
1,1,10,3,0.316,65.5
1,1,10,2,0.102,74.5
1,1,10,3,0.497,62.8
1,1,10,2,0.111,72.7
1,1,10,3,0.703,61.4
1,1,11,1,,59.3
1,1,11,1,,64
1,1,11,2,0.163,72.3
1,1,11,3,0.41,63.4
1,1,11,2,0.156,72.7
1,1,11,3,0.313,65.6
1,1,11,2,0.143,73.4
1,1,11,3,0.265,65.9
1,1,11,2,0.142,73.1
1,1,11,3,0.323,64.8
1,1,11,2,0.132,73.5
1,1,11,3,0.406,63.7
